date,post_count,Average_Sentiment,Uktemp,heatwaveday
2023-06-29,2,-0.01,15.29,0
2023-06-30,4,0.12,15.07,0
2023-07-01,5,0.11,15.61,0
2023-07-02,7,0.03,14.33,0
2023-07-03,14,0.07,13.98,0
2023-07-04,11,0.20,13.67,0
2023-07-05,13,-0.04,13.87,0
2023-07-06,19,0.08,15.05,0
2023-07-07,13,0.03,18.77,1
2023-07-08,6,0.09,18.89,1
2023-07-09,3,0.13,16.79,1
2023-07-10,12,0.00,16.55,0
2023-07-11,20,0.04,16.32,0
2023-07-12,13,0.20,15.53,0
2023-07-13,21,0.06,15.31,0
2023-07-14,25,0.01,15.74,0
2023-07-15,27,0.13,15.97,0
2023-07-16,23,0.01,15.06,0
2023-07-17,33,0.05,14.75,0
2023-07-18,30,0.06,15.09,0
2023-07-19,28,0.09,15.13,0
2023-07-20,16,0.10,14.42,0
2023-07-21,19,0.00,14.28,0
2023-07-22,14,-0.09,15.12,0
2023-07-23,12,-0.07,15.73,0
2023-07-24,20,-0.02,14.35,0
2023-07-25,29,0.11,14.10,0
2023-07-26,32,0.05,14.96,0
2023-07-27,46,0.04,16.54,0
2023-07-28,14,0.07,16.71,0
2023-07-29,14,-0.05,16.23,0
2023-07-30,22,0.06,15.67,0
2023-07-31,12,0.12,15.80,0
2023-08-01,15,0.02,15.62,0
2023-08-02,15,0.14,15.52,0
2023-08-03,14,0.06,15.29,0
2023-08-04,13,0.11,14.33,0
2023-08-05,10,0.12,13.48,0
2023-08-06,13,0.02,14.07,0
2023-08-07,12,0.02,14.01,0
2023-08-08,8,0.14,14.56,0
2023-08-09,6,0.20,16.52,0
2023-08-10,4,0.14,18.41,1
2023-08-11,13,0.07,18.08,1
2023-08-12,13,0.05,16.88,1
2023-08-13,16,0.01,16.31,0
2023-08-14,21,0.08,16.46,0
2023-08-15,29,-0.04,16.02,0
2023-08-16,31,-0.03,16.21,0
2023-08-17,24,0.14,17.19,0
2023-08-18,17,0.06,17.66,0
2023-08-19,22,0.01,18.16,0
2023-08-20,26,0.05,17.60,0
2023-08-21,36,0.03,17.19,0
2023-08-22,45,0.03,17.09,0
2023-08-23,38,0.02,16.59,0
2023-08-24,39,0.02,16.09,0
2023-08-25,32,-0.01,14.56,0
2023-08-26,16,0.08,14.29,0
2023-08-27,16,0.08,14.10,0
2023-08-28,16,0.12,14.55,0
2023-08-29,11,-0.04,14.20,0
2023-08-30,12,0.11,13.74,0
2023-08-31,12,0.10,14.06,0
2023-09-01,11,0.05,15.56,0
2023-09-02,10,-0.13,16.21,0
2023-09-03,32,-0.03,17.74,1
2023-09-04,59,0.06,18.88,1
2023-09-05,54,0.08,18.92,1
2023-09-06,73,0.11,19.49,1
2023-09-07,98,0.04,20.26,1
2023-09-08,68,0.08,20.48,1
2023-09-09,93,0.09,20.60,1
2023-09-10,64,0.04,19.04,1
2023-09-11,41,0.11,16.74,1
2023-09-12,31,0.03,14.30,1
2023-09-13,11,0.01,13.37,1
2023-09-14,8,0.12,14.68,0
2023-09-15,12,-0.01,14.32,0
2023-09-16,10,0.20,14.70,0
2023-09-17,9,0.19,15.25,0
2023-09-18,11,0.05,14.36,0
2023-09-19,20,0.07,13.70,0
2023-09-20,17,0.04,15.15,0
2023-09-21,23,0.10,12.29,0
2023-09-22,11,0.02,11.56,0
2023-09-23,11,0.05,11.77,0
2023-09-24,9,0.09,15.17,0
2023-09-25,11,0.09,15.59,0
2023-09-26,7,0.13,15.04,0
2023-09-27,8,0.10,14.81,0
2023-09-28,4,-0.12,14.64,0
2023-09-29,6,-0.02,14.20,0
2023-09-30,5,-0.03,13.20,0
,,,,